classifier,accuracy,f1,precision,recall
SVM (RBF),0.900472906403941,0.8959001007451581,0.9101832046807076,0.900472906403941
SVM (Linear),0.9313497536945814,0.9309279094533778,0.9312932846230334,0.9313497536945814
Random Forest,0.8947783251231527,0.8907395893048875,0.9001160277658874,0.8947783251231527
Logistic Regression,0.9267651888341545,0.9260571046042262,0.9271322091120835,0.9267651888341545
