classifier,accuracy,f1,precision,recall
SVM (RBF),0.7577075098814229,0.75414172783738,0.7739067212980257,0.7577075098814229
SVM (Linear),0.7940711462450594,0.7935789572746095,0.7987258415716915,0.7940711462450594
Random Forest,0.7205533596837944,0.7181016374929419,0.7272707003141785,0.7205533596837944
Logistic Regression,0.8118577075098814,0.811309053265575,0.8177772249709008,0.8118577075098814
