classifier,accuracy,f1,precision,recall
SVM (RBF),0.895888341543514,0.8923806219234487,0.9005591966972931,0.895888341543514
SVM (Linear),0.8890443349753694,0.8875833639525844,0.8898821937139607,0.8890443349753694
Random Forest,0.8981806239737274,0.8947510669460417,0.903497559202447,0.8981806239737274
Logistic Regression,0.8856026272577997,0.8842223980681532,0.8872757056481195,0.8856026272577997
